,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
105,webiny/webiny-js,82,@webiny/mongo-http-client@ @webiny/serverless-function@ webiny-integration-cookie-policy@v @webiny/serverless-app@ @webiny/http-handler@ @webiny/api-page-builder@ @webiny/app-cookie-policy@ @webiny/app-page-builder-theme@ @webiny/serverless-template@ @webiny/api-plugin-commodo-db-proxy@ @webiny/app-plugin-security-cognito-theme@ webiny-integration-typeform@v @webiny/serverless-aws-api-gateway@ @webiny/form@ @webiny/api-files@ @webiny/api-form-builder@ @webiny/serverless-files@ @webiny/project-utils@ @webiny/app-form-builder@ @webiny/app@ @webiny/app-admin@ @webiny/api-plugin-page-builder-resolvers-mongodb@ @webiny/i18n-react@ @webiny/serverless-api-gateway@ webiny-app-typeform@v @webiny/api-i18n@ @webiny/api-plugin-security-cognito@ @webiny/app-forms@ @webiny/commodo-graphql@ @webiny/commodo@ @webiny/app-typeform@ @webiny/app-page-builder@ @webiny/api-mailchimp@ @webiny/api-plugin-create-apollo-handler@ @webiny/serverless-aws-cloudfront@ webiny-api-cookie-policy@v @webiny/app-mailchimp@ @webiny/cli@ @webiny/serverless-page-builder@ @webiny/api-plugin-commodo-mongodb@ @webiny/app-i18n@ @webiny/serverless-db-proxy@ @webiny/serverless-deploy@ @webiny/ui@ @webiny/api-plugin-files-resolvers-mongodb@ @webiny/app-security@ @webiny/i18n@ @webiny/serverless-apollo-service@ @webiny/app-form-builder-theme@ @webiny/http-handler-index@ @webiny/api-security@ @webiny/webpack-externals@ webiny-app-mailchimp@v @webiny/api-plugin-form-builder-resolvers-mongodb@ webiny-api-mailchimp@v @webiny/plugins@ webiny-integration-google-tag-manager@v @webiny/validation@ webiny-integration-mailchimp@v @webiny/api-google-tag-manager@ @webiny/app-google-tag-manager@ @webiny/serverless-aws-lambda@ @webiny/http-handler-files@ @webiny/http-handler-ssr@ webiny-api-google-tag-manager@v @webiny/api-forms@ webiny-app-google-tag-manager@v @webiny/app-plugin-security-cognito@ @webiny/storybook-utils@ @webiny/api-plugin-forms-resolvers-mongodb@ @webiny/api-cookie-policy@ @webiny/api@ @webiny/serverless-form-builder@ @webiny/serverless-apollo-gateway@ @webiny/api-cms@ webiny-app-cookie-policy@v @webiny/serverless-aws-cognito-user-pool@ @webiny/react-router@ @webiny/api-plugin-create-apollo-gateway@ @webiny/tracking@ v @webiny/commodo-fields-storage-db-proxy@,78,52,1,1147,1225,0 days 00:00:02.319092
106,pagekit/pagekit,1,,4,0,2,31,35,0 days 00:00:00.242258
107,NLog/NLog,5, V NLog- Build- v,24,1,13,67,91,0 days 00:00:00.406001
108,dotnetcore/CAP,1,v,22,4,10,30,52,0 days 00:00:00.100001
109,graphite-project/graphite-web,1,,2,0,1,22,24,0 days 00:00:00.374758
110,swoft-cloud/swoft,1,v,3,0,2,25,28,0 days 00:00:00.076381
111,mledoze/countries,1,v,14,0,8,10,24,0 days 00:00:00.043969
112,benbusby/whoogle-search,2, v,7,1,2,15,22,0 days 00:00:00.045040
113,dinerojs/dinero.js,2, v,13,7,3,17,30,0 days 00:00:00.033971
114,robolectric/robolectric,4,Release robolectric- Robolectric robolectric-bazel-,28,3,19,37,65,0 days 00:00:00.722994
115,microsoft/reverse-proxy,1,v,2,0,1,1,3,0 days 00:00:00.046919
116,LawnchairLauncher/lawnchair,26, android-n-iot-release-polk-at android-s-preview- android-n-iot-preview- android-wear-o-preview- Pixel-v android-wear-n-preview- cm- android-n-preview- platform-tools- android-o-iot-preview- android-q-preview- android-wear-p-preview- android-l-preview_r android-p-preview- android-s-beta- android-o-mr1-iot-release- android-o-preview- android-m-preview- android-n-iot-release-smart-display-r android-r-beta- android-t-preview- android-n-iot-release-lg-thinq-wk v android-n-iot-release-ihome-igv android-r-preview-,66,16,10,90,156,0 days 00:00:02.617605
117,nl8590687/ASRT_SpeechRecognition,1,v,10,3,2,4,14,0 days 00:00:00.022067
118,EasyDarwin/EasyDarwin,1,v,2,0,0,8,10,0 days 00:00:00.097534
119,johnkerl/miller,2, v,29,15,8,23,52,0 days 00:00:00.477609
