project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
arasatasaygin/is.js,1,v,8,5,2,13,21,0 days 00:00:00.028111,0
crimx/ext-saladict,3, V v,59,47,6,139,198,0 days 00:00:00.210873,0
callstack/react-native-paper,2, v,53,40,5,61,114,0 days 00:00:00.114555,0
pyinstaller/pyinstaller,2, v,28,5,19,6,34,0 days 00:00:00.484293,0
docmirror/dev-sidecar,2, v,7,3,2,16,23,0 days 00:00:00.040413,0
hackware1993/MagicIndicator,1,,8,4,2,5,13,0 days 00:00:00.017774,0
coleifer/peewee,1,,35,12,13,139,174,0 days 00:00:00.334613,0
boardgameio/boardgame.io,1,v,39,28,4,111,150,0 days 00:00:00.141243,0
chimurai/http-proxy-middleware,1,v,26,19,6,30,56,0 days 00:00:00.041747,0
direnv/direnv,2, v,33,8,16,42,75,0 days 00:00:00.069916,0
javascript-obfuscator/javascript-obfuscator,1,,63,47,4,122,185,0 days 00:00:00.168950,0
symfony/console,1,v,26,4,21,466,492,0 days 00:00:00.507901,0
phpDocumentor/ReflectionDocBlock,1,,14,4,8,24,38,0 days 00:00:00.054905,0
PrefectHQ/prefect,1,,17,5,6,102,119,0 days 00:00:00.921037,0
sonic-pi-net/sonic-pi,1,v,16,5,7,9,25,0 days 00:00:00.514347,0
Gallopsled/pwntools,1,,26,5,8,35,61,0 days 00:00:00.183030,0
rough-stuff/wired-elements,1,v,9,2,4,26,35,0 days 00:00:00.038145,0
ydataai/pandas-profiling,2,v. v,20,10,7,14,34,0 days 00:00:00.061179,0
cure53/DOMPurify,2, v,12,3,8,68,80,0 days 00:00:00.107739,0
aksonov/react-native-router-flux,2, v,13,3,6,34,47,0 days 00:00:00.274062,0
sinonjs/sinon,2, v,57,27,18,121,178,0 days 00:00:00.235494,0
didi/cube-ui,2, v,13,10,1,69,82,0 days 00:00:00.226086,0
OWASP/owasp-mstg,2, v,5,1,3,7,12,0 days 00:00:00.405704,0
react-dropzone/react-dropzone,2, v,55,34,12,120,175,0 days 00:00:00.091058,0
thumbor/thumbor,1,,61,33,14,178,239,0 days 00:00:00.198133,0
capnproto/capnproto,1,v,9,1,6,12,21,0 days 00:00:00.192243,0
ginuerzh/gost,2, v,21,11,7,11,32,0 days 00:00:00.038787,0
paulmillr/chokidar,1,,28,10,14,70,98,0 days 00:00:00.204838,0
helmetjs/helmet,1,v,51,23,8,34,85,0 days 00:00:00.062007,0
inversify/InversifyJS,2, v,25,15,7,22,47,0 days 00:00:00.088221,0
TuSimple/naive-ui,2, v,26,23,1,70,96,0 days 00:00:00.370297,0
callstack/linaria,1,v,14,9,4,24,38,0 days 00:00:00.050402,0
mayswind/AriaNg,1,,9,1,6,14,23,0 days 00:00:00.037751,0
aws/chalice,1,,38,17,8,43,81,0 days 00:00:00.129907,0
dromara/Sa-Token,1,v,23,18,2,1,24,0 days 00:00:00.057360,0
didi/chameleon,2, v,4,1,1,19,23,0 days 00:00:00.070432,0
marmelab/gremlins.js,2, v,5,1,3,2,7,0 days 00:00:00.024828,0
antvis/G6,1,,9,2,3,64,73,0 days 00:00:00.260980,0
phpDocumentor/TypeResolver,1,,14,2,9,18,32,0 days 00:00:00.033034,0
gka/chroma.js,2, v,9,3,5,26,35,0 days 00:00:00.189288,0
fkhadra/react-toastify,1,v,33,16,8,60,93,0 days 00:00:00.085803,0
HabitRPG/habitica,2, v,351,348,2,612,963,0 days 00:00:02.388665,0
crawlab-team/crawlab,1,v,6,1,3,21,27,0 days 00:00:00.115270,0
react-page/react-page,2, v,58,45,6,214,272,0 days 00:00:00.187862,0
cert-manager/cert-manager,1,v,25,3,3,49,74,0 days 00:00:00.631155,0
webtorrent/webtorrent-desktop,1,v,25,18,5,13,38,0 days 00:00:00.120091,0
heartexlabs/label-studio,2,v. v,14,4,2,24,38,0 days 00:00:00.113051,0
facebookresearch/ParlAI,2, v,10,5,2,10,20,0 days 00:00:00.223055,0
tinode/chat,1,v,6,1,4,45,51,0 days 00:00:00.167749,0
OpenRefine/OpenRefine,2, v,13,1,10,9,22,0 days 00:00:00.335566,0
openframeworks/openFrameworks,1,,10,1,6,16,26,0 days 00:00:00.908303,0
zerotier/ZeroTierOne,1,,15,4,6,68,83,0 days 00:00:00.306182,0
facebook/chisel,1,,10,1,6,3,13,0 days 00:00:00.032413,0
remarkjs/react-markdown,2, v,22,7,11,46,68,0 days 00:00:00.046187,0
tweepy/tweepy,2, v,40,17,15,4,44,0 days 00:00:00.352220,0
encode/httpx,1,,23,10,4,47,70,0 days 00:00:00.246836,0
golang-migrate/migrate,1,v,24,7,7,25,49,0 days 00:00:00.084708,0
Aircoookie/WLED,1,v,8,1,6,15,23,0 days 00:00:00.095955,0
mapeditor/tiled,1,v,27,3,20,56,83,0 days 00:00:00.504589,0
GoogleChromeLabs/comlink,1,v,15,8,4,23,38,0 days 00:00:00.067839,0
mementum/backtrader,1,,7,2,1,132,139,0 days 00:00:00.145656,0
pytest-dev/pytest,1,,42,10,17,122,164,0 days 00:00:00.943220,0
cefsharp/CefSharp,1,v,27,5,11,70,97,0 days 00:00:00.358463,0
coursera-dl/coursera-dl,1,,8,1,5,12,20,0 days 00:00:00.063344,0
ultralytics/yolov3,1,v,12,6,4,0,12,0 days 00:00:00.126450,0
gregberge/svgr,1,v,36,29,4,19,55,0 days 00:00:00.053702,0
desandro/imagesloaded,1,v,11,3,5,27,38,0 days 00:00:00.025585,0
videolan/vlc,1,,9,1,3,50,59,0 days 00:00:04.093707,0
microsoft/Windows-universal-samples,2, v,438,13,9,171,609,0 days 00:00:00.442354,0
doctrine/dbal,2, v,18,2,14,79,97,0 days 00:00:00.738365,0
pyodide/pyodide,2, v,20,11,6,25,45,0 days 00:00:00.114404,0
caprover/caprover,2,V v,12,6,5,17,29,0 days 00:00:00.081104,0
piskelapp/piskel,1,v,14,2,9,16,30,0 days 00:00:00.214568,0
chakra-core/ChakraCore,1,v,9,1,3,52,61,0 days 00:00:00.657622,0
questdb/questdb,2, v,12,1,8,39,51,0 days 00:00:00.174179,0
mailpile/Mailpile,1,,5,1,2,6,11,0 days 00:00:00.231607,0
cyrus-and/gdb-dashboard,1,v,15,6,8,15,30,0 days 00:00:00.030392,0
tweenjs/tween.js,3, r v,30,12,12,23,53,0 days 00:00:00.060137,0
spotDL/spotify-downloader,1,v,14,4,4,38,52,0 days 00:00:00.086344,0
EpistasisLab/tpot,2, v,9,1,5,15,24,0 days 00:00:00.122316,0
Automattic/node-canvas,2, v,30,11,13,88,118,0 days 00:00:00.118322,0
OnsenUI/OnsenUI,1,,20,6,8,68,88,0 days 00:00:00.586400,0
aws/serverless-application-model,2, v,42,25,6,9,51,0 days 00:00:00.073340,0
google/go-github,1,v,59,43,6,35,94,0 days 00:00:00.113843,0
Shopify/sarama,1,v,34,10,15,18,52,0 days 00:00:00.154586,0
claudiodangelis/qrcp,1,,6,2,3,17,23,0 days 00:00:00.023735,0
XTLS/Xray-core,1,v,6,3,1,21,27,0 days 00:00:00.033456,0
Justson/AgentWeb,2, v,4,1,1,13,17,0 days 00:00:00.042138,0
muesli/duf,1,v,8,5,2,4,12,0 days 00:00:00.017660,0
pmndrs/jotai,1,v,24,17,1,88,112,0 days 00:00:00.082163,0
jprichardson/node-fs-extra,2, v,43,18,12,42,85,0 days 00:00:00.077877,0
shipshapecode/tether,1,v,13,6,4,60,73,0 days 00:00:00.074694,0
nextapps-de/flexsearch,1,,4,2,1,13,17,0 days 00:00:00.021310,0
welldone-software/why-did-you-render,2,v. v,19,8,6,67,86,0 days 00:00:00.050133,0
wkentaro/labelme,1,v,50,38,9,125,175,0 days 00:00:00.135965,0
listen1/listen1_chrome_extension,1,v,32,22,7,36,68,0 days 00:00:00.041497,0
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,2, v,26,17,3,32,58,0 days 00:00:00.090865,0
James-Yu/LaTeX-Workshop,1,v,89,74,1,126,215,0 days 00:00:00.405665,0
restsharp/RestSharp,2, v,30,14,11,29,59,0 days 00:00:00.110909,0
blevesearch/bleve,1,v,14,3,7,27,41,0 days 00:00:00.144533,0
MonoGame/MonoGame,2, v,12,1,9,4,16,0 days 00:00:00.909024,0
gskinner/regexr,1,,5,2,1,6,11,0 days 00:00:00.021749,0
tsayen/dom-to-image,1,,13,7,3,23,36,0 days 00:00:00.028870,0
giampaolo/psutil,1,release-,32,8,17,52,84,0 days 00:00:00.407322,0
libgit2/libgit2,1,v,29,7,16,48,77,0 days 00:00:00.845023,0
cesanta/mongoose,1,,43,12,22,1,44,0 days 00:00:00.187276,0
nilaoda/N_m3u8DL-CLI,1,,18,9,3,65,83,0 days 00:00:00.035835,0
cytoscape/cytoscape.js,1,v,29,10,13,198,227,0 days 00:00:00.480719,0
nodejs/node-gyp,2, v,37,7,18,98,135,0 days 00:00:00.102797,0
node-schedule/node-schedule,2, v,10,3,5,36,46,0 days 00:00:00.034103,0
jwtk/jjwt,1,,11,4,6,15,26,0 days 00:00:00.040121,0
stanfordnlp/CoreNLP,1,v,11,5,3,12,23,0 days 00:00:01.137819,0
projectdiscovery/nuclei,2,v. v,10,2,6,43,53,0 days 00:00:00.169774,0
rq/rq,2, v,24,2,15,44,68,0 days 00:00:00.095912,0
KurtBestor/Hitomi-Downloader,1,v,17,3,8,0,17,0 days 00:00:00.018037,0
junit-team/junit4,1,r,8,1,6,5,13,0 days 00:00:00.126367,0
borgbackup/borg,1,,22,13,5,36,58,0 days 00:00:00.582696,0
vector-im/element-web,1,v,27,9,9,172,199,0 days 00:00:00.757298,0
Nozbe/WatermelonDB,1,v,19,5,6,17,36,0 days 00:00:00.442089,0
chocolatey/choco,1,,5,1,2,38,43,0 days 00:00:00.289094,0
sebastianbergmann/php-code-coverage,1,,23,4,13,138,161,0 days 00:00:00.246560,0
panjf2000/ants,1,v,9,4,4,15,24,0 days 00:00:00.035291,0
MahApps/MahApps.Metro,1,,21,5,11,33,54,0 days 00:00:00.328425,0
uber/react-vis,2, v,22,14,3,77,99,0 days 00:00:00.072950,0
ag-grid/ag-grid,2, v,87,62,5,103,190,0 days 00:00:01.513076,0
myclabs/DeepCopy,1,,12,1,10,18,30,0 days 00:00:00.023193,0
benoitc/gunicorn,1,,31,12,14,51,82,0 days 00:00:00.347777,0
dat-ecosystem-archive/dat,1,v,43,31,8,64,107,0 days 00:00:00.128449,0
agenda/agenda,2, v,20,5,11,65,85,0 days 00:00:00.064710,0
square/moshi,1,moshi-parent-,15,1,12,4,19,0 days 00:00:00.061951,0
protobufjs/protobuf.js,2, v,23,11,6,55,78,0 days 00:00:00.082351,0
coil-kt/coil,1,,15,5,6,12,27,0 days 00:00:00.070002,0
jopohl/urh,1,v,17,8,7,74,91,0 days 00:00:00.261407,0
pre-commit/pre-commit,1,v,60,32,9,111,171,0 days 00:00:00.166899,0
devhubapp/devhub,2, v,55,47,3,61,116,0 days 00:00:00.201546,0
google/or-tools,1,v,32,7,8,3,35,0 days 00:00:00.632412,0
NG-ZORRO/ng-zorro-antd,1,,41,30,5,65,106,0 days 00:00:00.144659,0
dropwizard/dropwizard,1,v,15,1,11,119,134,0 days 00:00:00.574385,0
symfony/http-foundation,1,v,26,4,21,464,490,0 days 00:00:00.623884,0
tidwall/tile38,1,,27,6,7,59,86,0 days 00:00:00.095853,0
lima-vm/lima,1,v,11,6,1,16,27,0 days 00:00:00.070087,0
googleapis/google-api-php-client,2, v,13,2,8,32,45,0 days 00:00:00.094364,0
bloomrpc/bloomrpc,2, v,6,2,3,9,15,0 days 00:00:00.017758,0
ninja-build/ninja,2,release- v,14,1,10,12,26,0 days 00:00:00.146784,0
apache/tvm,1,v,7,1,5,1,8,0 days 00:00:00.516771,0
hediet/vscode-drawio,1,v,10,6,2,13,23,0 days 00:00:00.028139,0
OpenFeign/feign,3, release- v,72,48,10,54,126,0 days 00:00:00.106269,0
symfony/event-dispatcher,1,v,26,4,21,436,462,0 days 00:00:00.454033,0
olivernn/lunr.js,1,v,12,1,6,46,58,0 days 00:00:00.053063,0
knadh/listmonk,1,v,4,1,2,0,4,0 days 00:00:00.054763,0
VulcanJS/Vulcan,2, v,22,11,6,45,67,0 days 00:00:00.576062,0
resilience4j/resilience4j,3, v. v,22,5,9,15,37,0 days 00:00:00.082070,0
openshift/origin,1,v,14,2,10,25,39,0 days 00:00:01.791428,0
paragonie/random_compat,2, v,7,3,1,54,61,0 days 00:00:00.041138,0
Koenkk/zigbee2mqtt,1,,28,16,5,33,61,0 days 00:00:00.214044,0
PaddlePaddle/PaddleHub,2, v,12,3,1,10,22,0 days 00:00:00.094582,0
happyfish100/fastdfs,1,V,16,7,5,0,16,0 days 00:00:00.022253,0
electron/electron-packager,1,v,53,30,10,42,95,0 days 00:00:00.077070,0
abpframework/abp,2, v,43,33,3,60,103,0 days 00:00:01.388602,0
rofl0r/proxychains-ng,1,v,16,3,10,1,17,0 days 00:00:00.029183,0
OpenIMSDK/Open-IM-Server,1,v,3,1,1,15,18,0 days 00:00:00.097147,0
pypa/pip,1,,36,2,27,73,109,0 days 00:00:00.745317,0
shwenzhang/AndResGuard,1,,3,1,1,35,38,0 days 00:00:00.035696,0
keybase/client,2, v,29,21,4,65,94,0 days 00:00:02.181783,0
symfony/finder,1,v,26,4,20,440,466,0 days 00:00:00.462937,0
sockjs/sockjs-client,1,v,11,1,7,20,31,0 days 00:00:00.064940,0
dotnet/machinelearning,1,v,18,12,4,5,23,0 days 00:00:00.150940,0
Stuk/jszip,1,v,19,5,11,14,33,0 days 00:00:00.053193,0
sahat/satellizer,1,,14,7,4,41,55,0 days 00:00:00.109310,0
szimek/signature_pad,1,v,11,3,4,19,30,0 days 00:00:00.028440,0
ng-bootstrap/ng-bootstrap,1,,27,12,6,49,76,0 days 00:00:00.138172,0
firefly-iii/firefly-iii,1,,41,19,8,201,242,0 days 00:00:01.029307,0
smicallef/spiderfoot,1,v,8,1,6,1,9,0 days 00:00:00.286678,0
airbnb/epoxy,1,,41,26,5,22,63,0 days 00:00:00.052947,0
arrow-py/arrow,1,,17,3,11,37,54,0 days 00:00:00.078294,0
ChrisRM/material-theme-jetbrains,2, v,83,68,2,163,246,0 days 00:00:00.270832,0
grommet/grommet,2, v,41,18,8,76,117,0 days 00:00:00.471112,0
adrai/flowchart.js,1,v,17,4,9,31,48,0 days 00:00:00.027301,0
Jguer/yay,1,v,49,33,9,26,75,0 days 00:00:00.126878,0
doitsujin/dxvk,1,v,40,30,5,32,72,0 days 00:00:00.367274,0
Pikaday/Pikaday,1,,9,1,7,6,15,0 days 00:00:00.032459,0
JustArchiNET/ArchiSteamFarm,1,,167,154,10,431,598,0 days 00:00:01.288228,0
qutebrowser/qutebrowser,1,v,32,4,16,49,81,0 days 00:00:01.308114,0
mediaelement/mediaelement,1,,32,8,12,117,149,0 days 00:00:00.246199,0
tiangolo/typer,1,,4,1,1,15,19,0 days 00:00:00.025936,0
mjmlio/mjml,3, V v,25,8,11,50,75,0 days 00:00:00.156289,0
scylladb/scylla,1,scylla-,33,11,10,130,163,0 days 00:00:01.869083,0
huggingface/datasets,1,,26,21,1,26,52,0 days 00:00:00.160017,0
wtfutil/wtf,2, v,41,26,1,26,67,0 days 00:00:00.171198,0
d2l-ai/d2l-en,1,v,8,1,4,17,25,0 days 00:00:00.344871,0
google/cadvisor,2, v,45,20,15,71,116,0 days 00:00:00.190066,0
justauth/JustAuth,3, v. v,14,9,2,25,39,0 days 00:00:00.043638,0
zalmoxisus/redux-devtools-extension,2, v,27,23,2,43,70,0 days 00:00:00.062710,0
grpc-ecosystem/grpc-gateway,1,v,28,10,10,43,71,0 days 00:00:00.117808,0
verdaccio/verdaccio,1,v,64,34,13,148,212,0 days 00:00:00.340803,0
automerge/automerge,1,v,13,4,6,20,33,0 days 00:00:00.050719,0
fabric/fabric,1,,26,4,19,97,123,0 days 00:00:00.425075,0
Tencent/APIJSON,1,,37,21,7,51,88,0 days 00:00:00.280083,0
powerline/powerline,1,,13,3,7,10,23,0 days 00:00:00.142725,0
orhanobut/logger,2, v,13,7,3,1,14,0 days 00:00:00.016940,0
android-hacker/VirtualXposed,2, v,12,3,3,55,67,0 days 00:00:00.120795,0
getgrav/grav,1,,13,3,8,170,183,0 days 00:00:00.430923,0
authelia/authelia,1,v,55,39,5,114,169,0 days 00:00:00.369362,0
microsoft/recommenders,1,,9,3,3,2,11,0 days 00:00:00.480531,0
Budibase/budibase,1,v,10,5,3,479,489,0 days 00:00:01.653964,0
liabru/matter-js,1,,10,1,7,8,18,0 days 00:00:00.047252,0
RaRe-Technologies/gensim,1,,23,6,11,36,59,0 days 00:00:00.206977,0
python/mypy,1,v,59,38,8,7,66,0 days 00:00:00.734447,0
microsoft/AirSim,2,v. v,3,1,1,15,18,0 days 00:00:00.094590,0
timescale/timescaledb,1,,28,8,8,33,61,0 days 00:00:00.233011,0
flipped-aurora/gin-vue-admin,3,v. V v,7,2,2,21,28,0 days 00:00:00.316157,0
remotion-dev/remotion,1,v,14,8,1,81,95,0 days 00:00:00.502832,0
ahmetb/kubectx,1,v,9,2,5,11,20,0 days 00:00:00.024891,0
mdx-js/mdx,2, v,26,19,5,140,166,0 days 00:00:00.141735,0
txthinking/brook,1,v,43,22,6,0,43,0 days 00:00:00.043251,0
brix/crypto-js,2, release-,4,2,1,10,14,0 days 00:00:00.022178,0
modood/Administrative-divisions-of-China,1,,9,1,7,7,16,0 days 00:00:00.015426,0
xtermjs/xterm.js,1,,76,52,7,35,111,0 days 00:00:00.424774,0
mockito/mockito,1,v,58,32,10,409,467,0 days 00:00:00.836781,0
redwoodjs/redwood,2, v,57,53,1,71,128,0 days 00:00:00.333818,0
termux/termux-app,1,v,89,73,7,0,89,0 days 00:00:00.076443,0
xtaci/kcptun,2, v,106,79,7,0,106,0 days 00:00:00.085898,0
GoogleContainerTools/skaffold,1,v,80,76,1,29,109,0 days 00:00:00.433891,0
bcicen/ctop,2, v,5,2,2,11,16,0 days 00:00:00.035387,0
arduino/Arduino,1,,26,5,13,46,72,0 days 00:00:00.531948,0
WerWolv/ImHex,1,v,19,14,2,12,31,0 days 00:00:00.084479,0
selectize/selectize.js,1,v,12,5,2,64,76,0 days 00:00:00.159753,0
gionkunz/chartist-js,1,v,11,6,4,47,58,0 days 00:00:00.067433,0
wechaty/wechaty,1,v,15,4,7,8,23,0 days 00:00:00.313643,0
http-party/node-http-proxy,2, v,27,11,13,70,97,0 days 00:00:00.242737,0
filp/whoops,1,,18,6,8,50,68,0 days 00:00:00.088950,0
Semantic-Org/Semantic-UI-React,1,v,93,78,5,211,304,0 days 00:00:00.393822,0
google/gvisor,1,release-,99,94,2,0,99,0 days 00:00:00.514524,0
DIYgod/DPlayer,2, v,21,12,5,21,42,0 days 00:00:00.071174,0
CachetHQ/Cachet,1,v,7,1,2,30,37,0 days 00:00:00.202332,0
Foundry376/Mailspring,1,,11,1,6,43,54,0 days 00:00:00.324758,0
you-dont-need/You-Dont-Need-Momentjs,1,v,6,3,2,5,11,0 days 00:00:00.017817,0
rwaldron/johnny-five,2, v,14,3,7,73,87,0 days 00:00:00.268559,0
umijs/qiankun,1,v,14,4,7,92,106,0 days 00:00:00.089377,0
NodeBB/NodeBB,1,v,30,2,17,93,123,0 days 00:00:01.156123,0
faressoft/terminalizer,1,v,6,3,1,25,31,0 days 00:00:00.018757,0
Intervention/image,1,,15,3,8,93,108,0 days 00:00:00.061054,0
redux-form/redux-form,1,v,46,30,8,141,187,0 days 00:00:00.270258,0
revel/revel,1,v,18,4,10,7,25,0 days 00:00:00.077440,0
onnx/onnx,1,v,13,1,10,9,22,0 days 00:00:00.210128,0
charmbracelet/bubbletea,1,v,20,14,4,27,47,0 days 00:00:00.040471,0
moment/luxon,1,,37,21,6,69,106,0 days 00:00:00.074758,0
showdownjs/showdown,2, v,14,3,7,42,56,0 days 00:00:00.049036,0
pqina/filepond,1,,52,41,4,143,195,0 days 00:00:00.092773,0
thephpleague/flysystem,1,,13,2,6,175,188,0 days 00:00:00.164711,0
psf/requests-html,1,v,8,6,1,22,30,0 days 00:00:00.028920,0
horovod/horovod,1,v,16,3,10,53,69,0 days 00:00:00.078849,0
OptimalBits/bull,2, v,49,26,13,84,133,0 days 00:00:00.124248,0
openstf/stf,1,v,12,4,7,16,28,0 days 00:00:00.091975,0
bvaughn/react-window,1,,4,2,1,16,20,0 days 00:00:00.026070,0
keycloak/keycloak,1,,16,3,7,21,37,0 days 00:00:00.743152,0
aws/aws-cli,1,,46,24,17,1642,1688,0 days 00:00:04.108400,0
josdejong/mathjs,1,v,109,83,4,118,227,0 days 00:00:00.428551,0
pyecharts/pyecharts,1,v,14,4,6,29,43,0 days 00:00:00.123258,0
barryvdh/laravel-ide-helper,1,v,25,8,15,61,86,0 days 00:00:00.059118,0
uuidjs/uuid,1,v,16,6,8,21,37,0 days 00:00:00.038879,0
surmon-china/vue-awesome-swiper,2, v,14,5,5,36,50,0 days 00:00:00.032038,0
MaterialDesignInXAML/MaterialDesignInXamlToolkit,2, v,21,5,12,12,33,0 days 00:00:00.115090,0
tensorflow/tensor2tensor,3, v. v,15,5,4,61,76,0 days 00:00:00.187595,0
danilowoz/react-content-loader,2, v,16,6,8,27,43,0 days 00:00:00.026743,0
liriliri/eruda,1,v,15,6,5,40,55,0 days 00:00:00.041773,0
gaearon/react-hot-loader,2, v,25,13,6,107,132,0 days 00:00:00.116242,0
OpenAPITools/openapi-generator,2, v,16,2,11,38,54,0 days 00:00:01.080941,0
wkhtmltopdf/wkhtmltopdf,1,,8,4,3,31,39,0 days 00:00:00.155061,0
11ty/eleventy,1,v,13,2,7,41,54,0 days 00:00:00.089208,0
systemjs/systemjs,2, v,40,18,10,187,227,0 days 00:00:00.160343,0
aquasecurity/trivy,1,v,28,19,2,59,87,0 days 00:00:00.068849,0
rt2zz/redux-persist,1,v,36,27,6,76,112,0 days 00:00:00.072107,0
visionmedia/supertest,2, v,29,8,13,29,58,0 days 00:00:00.035788,0
lra/mackup,1,,8,4,3,53,61,0 days 00:00:00.382774,0
casbin/casbin,1,v,68,52,5,118,186,0 days 00:00:00.101331,0
oliver-moran/jimp,2, v,15,8,4,71,86,0 days 00:00:00.060647,0
tabler/tabler-icons,1,v,69,65,2,15,84,0 days 00:00:00.062125,0
mlflow/mlflow,2, v,35,21,1,20,55,0 days 00:00:00.177644,0
foambubble/foam,1,v,17,10,3,44,61,0 days 00:00:00.057235,0
arut/nginx-rtmp-module,1,v,12,5,3,100,112,0 days 00:00:00.067563,0
Miserlou/Zappa,2, v,50,42,3,71,121,0 days 00:00:00.398688,0
Delgan/loguru,1,,6,1,4,12,18,0 days 00:00:00.032328,0
react-dates/react-dates,1,v,78,74,1,81,159,0 days 00:00:00.115276,0
carloscuesta/gitmoji,1,v,13,5,2,5,18,0 days 00:00:00.040913,0
roots/sage,2, v,27,10,12,35,62,0 days 00:00:00.141320,0
webpack-contrib/webpack-bundle-analyzer,1,v,32,19,8,34,66,0 days 00:00:00.050962,0
http-party/http-server,2, v,15,2,10,30,45,0 days 00:00:00.049703,0
apache/druid,1,druid-,18,1,13,366,384,0 days 00:00:00.949994,0
aurelia/framework,1,,23,16,5,32,55,0 days 00:00:00.057978,0
Tonejs/Tone.js,2, r,12,1,8,4,16,0 days 00:00:00.251333,0
jaredreich/pell,1,v,6,4,1,6,12,0 days 00:00:00.014261,0
Tamsiree/RxTool,2, v,15,7,4,177,192,0 days 00:00:00.102121,0
karma-runner/karma,2, v,35,14,12,198,233,0 days 00:00:00.354698,0
FaridSafi/react-native-gifted-chat,2, v,16,6,7,46,62,0 days 00:00:00.076953,0
ramsey/uuid,1,,26,6,14,37,63,0 days 00:00:00.077306,0
thingsboard/thingsboard,1,v,15,2,7,33,48,0 days 00:00:00.537855,0
flairNLP/flair,1,v,11,1,6,12,23,0 days 00:00:00.222689,0
segmentio/evergreen,1,v,51,39,2,84,135,0 days 00:00:00.091778,0
ben-manes/caffeine,2, v,16,4,7,45,61,0 days 00:00:00.185043,0
AdguardTeam/AdGuardHome,1,v,19,6,4,31,50,0 days 00:00:00.154529,0
ranger/ranger,1,v,10,1,8,31,41,0 days 00:00:00.217463,0
emirpasic/gods,1,v,19,14,3,6,25,0 days 00:00:00.033498,0
mikepenz/MaterialDrawer,1,v,35,19,8,166,201,0 days 00:00:00.359331,0
LuckSiege/PictureSelector,2,v. v,12,6,5,91,103,0 days 00:00:00.194052,0
NetEase/pomelo,2, v,9,1,4,84,93,0 days 00:00:00.072212,0
microsoft/nni,1,v,27,9,2,16,43,0 days 00:00:00.192746,0
apexcharts/apexcharts.js,2, v,32,15,3,54,86,0 days 00:00:00.134501,0
PuerkitoBio/goquery,1,v,12,1,8,10,22,0 days 00:00:00.027304,0
QL-Win/QuickLook,2, v,4,1,1,38,42,0 days 00:00:00.051631,0
go-chi/chi,1,v,12,1,5,27,39,0 days 00:00:00.044665,0
nock/nock,2, v,125,108,13,181,306,0 days 00:00:00.362610,0
rjsf-team/react-jsonschema-form,1,v,71,56,6,52,123,0 days 00:00:00.100849,0
koekeishiya/yabai,1,v,12,5,1,34,46,0 days 00:00:00.062952,0
d2-projects/d2-admin,2, v,25,17,4,62,87,0 days 00:00:00.286125,0
mifi/lossless-cut,1,v,70,52,9,67,137,0 days 00:00:00.151051,0
sindresorhus/got,1,v,70,49,11,71,141,0 days 00:00:00.149169,0
spicetify/spicetify-cli,2,v. v,23,14,5,52,75,0 days 00:00:00.179039,0
netchx/netch,2, v,6,1,3,47,53,0 days 00:00:00.131265,0
meolu/walle-web,1,v,13,8,1,6,19,0 days 00:00:00.070556,0
rizinorg/cutter,1,v,14,6,5,16,30,0 days 00:00:00.135120,0
video-dev/hls.js,1,v,16,2,9,185,201,0 days 00:00:00.622132,0
bettercap/bettercap,1,v,33,23,5,10,43,0 days 00:00:00.101880,0
hotwired/stimulus,1,v,12,5,4,14,26,0 days 00:00:00.062998,0
graphile/postgraphile,1,v,35,20,7,60,95,0 days 00:00:00.171394,0
slimphp/Slim,1,,40,11,21,55,95,0 days 00:00:00.262036,0
wenzhixin/bootstrap-table,1,,18,3,9,39,57,0 days 00:00:00.189133,0
nexe/nexe,1,v,5,2,1,14,19,0 days 00:00:00.039130,0
RPCS3/rpcs3,1,v,5,1,3,21,26,0 days 00:00:00.630959,0
searx/searx,2, v,14,1,12,3,17,0 days 00:00:00.272338,0
cloudwu/skynet,1,v,15,7,6,18,33,0 days 00:00:00.091650,0
antvis/G2,2, v,13,2,8,144,157,0 days 00:00:00.223377,0
java-decompiler/jd-gui,1,v,7,5,1,11,18,0 days 00:00:00.019839,0
conventional-changelog/commitlint,1,v,47,28,10,89,136,0 days 00:00:00.239195,0
kubernetes/dashboard,1,v,15,1,10,20,35,0 days 00:00:00.320115,0
PHPOffice/PhpSpreadsheet,1,,24,6,7,10,34,0 days 00:00:00.164676,0
pagehelper/Mybatis-PageHelper,1,v,18,9,6,42,60,0 days 00:00:00.042462,0
micro/micro,2, v,62,46,2,37,99,0 days 00:00:00.334929,0
single-spa/single-spa,2, v,29,15,10,85,114,0 days 00:00:00.060059,0
davisking/dlib,1,v,55,14,13,0,55,0 days 00:00:00.423649,0
argoproj/argo-workflows,2, v,23,7,9,102,125,0 days 00:00:00.350418,0
containerd/containerd,2, v,9,1,7,76,85,0 days 00:00:00.842242,0
FriendsOfPHP/PHP-CS-Fixer,1,v,48,26,14,148,196,0 days 00:00:00.560987,0
nightwatchjs/nightwatch,1,v,16,1,9,207,223,0 days 00:00:00.177475,0
ccampbell/mousetrap,1,,7,1,5,21,28,0 days 00:00:00.027459,0
frappe/erpnext,2, v,153,136,7,763,916,0 days 00:00:04.050860,0
google/brotli,1,v,6,1,4,10,16,0 days 00:00:00.058651,0
