project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
go-task/task,1,v,26,9,7,26,52,0 days 00:00:00.081615,0
sachinchoolur/lightGallery,2, v,16,4,8,66,82,0 days 00:00:00.073425,0
vrana/adminer,1,v,17,4,11,35,52,0 days 00:00:00.253484,0
onionshare/onionshare,2, v,18,5,11,9,27,0 days 00:00:00.358445,0
microsoft/Windows-driver-samples,1,,609,57,1,0,609,0 days 00:00:00.423465,0
nhn/tui.image-editor,2, v,21,7,12,17,38,0 days 00:00:00.054070,0
arkime/arkime,1,v,32,2,17,70,102,0 days 00:00:00.357361,0
bestiejs/benchmark.js,1,,5,2,2,19,24,0 days 00:00:00.062732,0
snorkel-team/snorkel,1,v,4,1,2,11,15,0 days 00:00:00.136501,0
wangyu-/udp2raw,1,,38,31,2,0,38,0 days 00:00:00.044430,0
hiroppy/fusuma,1,v,37,32,3,59,96,0 days 00:00:00.099552,0
share/sharedb,1,v,23,7,9,111,134,0 days 00:00:00.113341,0
GoogleChrome/lighthouse-ci,1,v,9,1,5,24,33,0 days 00:00:00.055826,0
standard-things/esm,1,,29,27,1,160,189,0 days 00:00:00.511224,0
windicss/windicss,1,v,13,8,1,81,94,0 days 00:00:00.072318,0
reviewdog/reviewdog,2, v,6,1,4,21,27,0 days 00:00:00.136424,0
ai/size-limit,1,,45,29,7,101,146,0 days 00:00:00.098494,0
johannesjo/super-productivity,1,v,58,48,3,296,354,0 days 00:00:00.694999,0
lancedikson/bowser,2, v,26,11,8,33,59,0 days 00:00:00.063223,0
nhn/tui.chart,2, v,38,21,8,60,98,0 days 00:00:00.151132,0
rmax/scrapy-redis,2, v,6,1,3,12,18,0 days 00:00:00.020544,0
vuejs/v2.vuejs.org,1,v,8,4,3,9,17,0 days 00:00:00.033425,0
timolins/react-hot-toast,1,v,7,3,2,5,12,0 days 00:00:00.024050,0
reactchartjs/react-chartjs-2,3, v. v,24,9,9,51,75,0 days 00:00:00.049117,0
openpgpjs/openpgpjs,1,v,40,18,13,109,149,0 days 00:00:00.286421,0
laravel/socialite,1,v,18,2,9,62,80,0 days 00:00:00.061632,0
msiemens/tinydb,2, v,34,10,16,26,60,0 days 00:00:00.057830,0
luraproject/lura,2, v,15,2,10,12,27,0 days 00:00:00.047807,0
reek/anti-adblock-killer,1,v,31,29,1,0,31,0 days 00:00:00.036200,0
jarun/buku,2, v,36,18,6,3,39,0 days 00:00:00.109485,0
expressjs/body-parser,1,,21,9,8,47,68,0 days 00:00:00.047255,0
healthchecks/healthchecks,2, v,28,10,1,8,36,0 days 00:00:00.127679,0
jvm-profiling-tools/async-profiler,1,v,14,2,9,9,23,0 days 00:00:00.040636,0
minbrowser/min,2, v,26,4,8,31,57,0 days 00:00:00.127213,0
btraceio/btrace,3, release- v,5,1,2,34,39,0 days 00:00:00.079055,0
TommyLemon/Android-ZBLibrary,1,,21,13,4,4,25,0 days 00:00:00.033988,0
journeyapps/zxing-android-embedded,1,v,15,4,9,7,22,0 days 00:00:00.072044,0
laravel-mix/laravel-mix,1,v,27,19,3,105,132,0 days 00:00:00.129188,0
pypa/pipx,1,,15,7,5,36,51,0 days 00:00:00.044603,0
mautic/mautic,1,,30,6,13,59,89,0 days 00:00:01.432270,0
timber/timber,2, v,32,10,14,96,128,0 days 00:00:00.351581,0
spectreconsole/spectre.console,1,,44,38,1,3,47,0 days 00:00:00.047405,0
Mailtrain-org/mailtrain,1,v,25,20,2,10,35,0 days 00:00:00.073442,0
espnet/espnet,1,v.,11,1,6,32,43,0 days 00:00:00.923334,0
wiremock/wiremock,2, release-,55,28,16,28,83,0 days 00:00:00.138940,0
SigmaHQ/sigma,1,,19,6,6,10,29,0 days 00:00:00.678971,0
istanbuljs/nyc,1,v,58,43,4,56,114,0 days 00:00:00.078193,0
uber/prototool,1,v,18,13,3,2,20,0 days 00:00:00.030825,0
ZipArchive/ZipArchive,2, v,17,4,9,80,97,0 days 00:00:00.061776,0
lukeed/polka,1,v,5,2,2,9,14,0 days 00:00:00.023695,0
zhaojun1998/zfile,1,,32,26,3,11,43,0 days 00:00:00.035333,0
kedacore/keda,1,v,14,3,4,3,17,0 days 00:00:00.087563,0
json5/json5,1,v,10,1,7,8,18,0 days 00:00:00.029293,0
uNetworking/uWebSockets.js,1,v,59,51,3,6,65,0 days 00:00:00.065928,0
ServiceStack/ServiceStack,1,v,17,2,12,41,58,0 days 00:00:00.701249,0
kubeedge/kubeedge,1,v,14,1,10,11,25,0 days 00:00:00.227723,0
material-shell/material-shell,2, v,11,7,2,0,11,0 days 00:00:00.046523,0
panjf2000/gnet,1,v,8,2,5,35,43,0 days 00:00:00.051895,0
ponylang/ponyc,2, release-,51,31,9,56,107,0 days 00:00:00.418393,0
Angel-ML/angel,2,Release- v,14,2,6,4,18,0 days 00:00:00.148157,0
rauchg/slackin,1,,14,8,3,26,40,0 days 00:00:00.134850,0
docker/machine,2, v,16,2,8,16,32,0 days 00:00:00.182464,0
google/benchmark,1,v,8,2,5,9,17,0 days 00:00:00.173279,0
pedroslopez/whatsapp-web.js,1,v,18,8,3,39,57,0 days 00:00:00.043052,0
reactjs/react-rails,2, v,24,9,9,31,55,0 days 00:00:00.078151,0
hajimehoshi/ebiten,1,v,17,2,13,66,83,0 days 00:00:00.340907,0
fengyuanchen/viewerjs,1,v,21,6,10,28,49,0 days 00:00:00.037864,0
meetecho/janus-gateway,1,v,11,1,7,53,64,0 days 00:00:00.269192,0
roadrunner-server/roadrunner,2, v,22,7,7,81,103,0 days 00:00:00.333521,0
LonamiWebs/Telethon,1,v,44,26,4,91,135,0 days 00:00:00.157487,0
boto/boto,2, v,50,28,10,29,79,0 days 00:00:00.530215,0
vitalets/x-editable,1,,6,4,1,9,15,0 days 00:00:00.035323,0
opencart/opencart,1,,11,4,5,24,35,0 days 00:00:00.721210,0
go-admin-team/go-admin,1,v,6,1,3,27,33,0 days 00:00:00.070571,0
mobxjs/mobx-state-tree,2, v,38,28,7,64,102,0 days 00:00:00.141478,0
sghall/react-move,1,v,28,19,7,21,49,0 days 00:00:00.043901,0
yugabyte/yugabyte-db,2, v,18,1,12,73,91,0 days 00:00:01.071285,0
glidejs/glide,1,v,8,1,5,25,33,0 days 00:00:00.041688,0
ocrmypdf/OCRmyPDF,1,v,63,40,7,115,178,0 days 00:00:00.332381,0
invoiceninja/invoiceninja,1,v,41,21,5,387,428,0 days 00:00:01.436908,0
hotoo/pinyin,1,,13,1,10,28,41,0 days 00:00:00.030523,0
gocd/gocd,1,,69,48,4,2,71,0 days 00:00:00.958334,0
0x7c13/Notepads,1,v,14,9,2,42,56,0 days 00:00:00.067527,0
electronicarts/EASTL,1,,14,1,8,31,45,0 days 00:00:00.036210,0
optuna/optuna,1,v,36,27,2,4,40,0 days 00:00:00.610956,0
electerm/electerm,2, v,35,23,5,292,327,0 days 00:00:00.237990,0
wilsonpage/fastdom,2, v,8,5,2,23,31,0 days 00:00:00.025208,0
baconjs/bacon.js,1,,9,3,3,200,209,0 days 00:00:00.219157,0
mRemoteNG/mRemoteNG,2, v,17,9,7,23,40,0 days 00:00:00.337066,0
mbdavid/LiteDB,2,v. v,8,1,3,27,35,0 days 00:00:00.120160,0
doctrine/annotations,2, v,14,1,9,20,34,0 days 00:00:00.427872,0
sebastianbergmann/exporter,1,,7,2,4,12,19,0 days 00:00:00.039613,0
zo0r/react-native-push-notification,2, v,16,10,2,19,35,0 days 00:00:00.050335,0
kelektiv/node.bcrypt.js,2, v,11,1,9,39,50,0 days 00:00:00.044498,0
zendesk/android-floating-action-button,1,,11,9,1,4,15,0 days 00:00:00.016904,0
