project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
chainer/chainer,1,v,60,44,3,18,78,0 days 00:00:02.309605
mobxjs/mobx-state-tree,2, v,38,21,6,64,102,0 days 00:00:00.145913
hajimehoshi/ebiten,1,v,17,2,13,66,83,0 days 00:00:00.409258
0x7c13/Notepads,1,v,14,3,2,42,56,0 days 00:00:00.068924
SigmaHQ/sigma,1,,19,6,6,10,29,0 days 00:00:00.850648
ocrmypdf/OCRmyPDF,1,v,63,26,7,115,178,0 days 00:00:00.209554
zo0r/react-native-push-notification,2, v,16,5,2,19,35,0 days 00:00:00.052741
boto/boto,2, v,50,25,9,29,79,0 days 00:00:00.489832
linkedin/css-blocks,2, v,17,6,4,22,39,0 days 00:00:00.102084
Squirrel/Squirrel.Windows,1,,17,5,6,48,65,0 days 00:00:00.081342
baconjs/bacon.js,1,,9,2,2,200,209,0 days 00:00:00.338316
mRemoteNG/mRemoteNG,2, v,17,4,7,23,40,0 days 00:00:00.348102
appleboy/gorush,2, v,16,6,7,15,31,0 days 00:00:00.053624
kpdecker/jsdiff,1,v,15,2,8,24,39,0 days 00:00:00.037009
ramboxapp/community-edition,1,,7,2,3,36,43,0 days 00:00:00.073641
dylanaraps/pywal,1,,17,8,2,65,82,0 days 00:00:00.062814
rancher/os,1,v,15,3,6,43,58,0 days 00:00:00.164598
opencart/opencart,1,,11,3,4,24,35,0 days 00:00:00.811428
automl/auto-sklearn,3, v. v,12,2,6,21,33,0 days 00:00:00.134145
vmware-tanzu/velero,1,v,17,2,8,43,60,0 days 00:00:00.200919
aws/aws-sdk-php,1,,234,16,2,1228,1462,0 days 00:00:02.807015
optuna/optuna,1,v,36,27,2,4,40,0 days 00:00:00.738536
feross/simple-peer,1,v,50,9,6,71,121,0 days 00:00:00.095505
mautic/mautic,1,,30,6,13,59,89,0 days 00:00:01.712615
Cyan4973/xxHash,2,r v,12,3,4,11,23,0 days 00:00:00.076129
PHPOffice/PHPWord,1,,12,3,7,8,20,0 days 00:00:00.137399
gocd/gocd,1,,69,47,4,2,71,0 days 00:00:01.104444
elasticsearch-dump/elasticsearch-dump,2, v,113,12,2,137,250,0 days 00:00:00.298838
Radarr/Radarr,2, v,99,43,13,13,112,0 days 00:00:00.698819
i18next/i18next,2, v,91,11,5,222,313,0 days 00:00:00.220801
jackocnr/intl-tel-input,2, v,62,17,5,262,324,0 days 00:00:00.255472
FreeRDP/FreeRDP,1,,9,2,4,8,17,0 days 00:00:01.117838
albertlauncher/albert,1,v,17,9,5,64,81,0 days 00:00:00.088945
doccano/doccano,1,v,8,2,3,19,27,0 days 00:00:00.173613
yocontra/react-responsive,1,v,8,2,2,28,36,0 days 00:00:00.026366
amoffat/sh,1,,34,9,4,17,51,0 days 00:00:00.081456
StackExchange/blackbox,1,v,18,3,8,0,18,0 days 00:00:00.037767
go-resty/resty,1,v,34,5,10,7,41,0 days 00:00:00.040419
react-native-video/react-native-video,2, v,24,8,6,49,73,0 days 00:00:00.089133
yagop/node-telegram-bot-api,1,v,26,5,4,13,39,0 days 00:00:00.052078
medialize/URI.js,2,v. v,20,4,8,54,74,0 days 00:00:00.066423
symfony/translation,1,v,26,4,21,462,488,0 days 00:00:00.571085
DIYgod/APlayer,2, v,6,2,2,15,21,0 days 00:00:00.030866
99designs/aws-vault,1,v,34,6,9,32,66,0 days 00:00:00.210284
thephpleague/oauth2-server,1,,25,3,10,72,97,0 days 00:00:00.169589
invoiceninja/invoiceninja,1,v,41,20,5,387,428,0 days 00:00:01.616588
simonw/datasette,1,,55,31,6,39,94,0 days 00:00:00.137140
securego/gosec,2, v,16,2,8,8,24,0 days 00:00:00.052299
ArthurHub/Android-Image-Cropper,1,,9,2,6,23,32,0 days 00:00:00.039548
bpmn-io/bpmn-js,2, v,75,23,3,155,230,0 days 00:00:00.261286
software-mansion/react-native-reanimated,1,,23,5,2,19,42,0 days 00:00:00.233527
NixOS/nix,1,,37,4,23,53,90,0 days 00:00:00.882674
faker-js/faker,1,v,22,8,7,26,48,0 days 00:00:00.134863
centrifugal/centrifugo,1,v,24,5,8,57,81,0 days 00:00:00.093508
garris/BackstopJS,2, v,25,5,5,106,131,0 days 00:00:00.112076
pahen/madge,2, v,30,4,5,29,59,0 days 00:00:00.041777
gruntwork-io/terratest,1,v,39,5,4,296,335,0 days 00:00:00.456579
chrismaltby/gb-studio,2, v,6,3,2,6,12,0 days 00:00:00.219288
marshmallow-code/marshmallow,1,,48,14,9,77,125,0 days 00:00:00.321395
react-native-svg/react-native-svg,2, v,45,13,6,164,209,0 days 00:00:00.300851
tindy2013/subconverter,1,v,7,3,2,28,35,0 days 00:00:00.045491
jenssegers/laravel-mongodb,2, v,19,3,7,91,110,0 days 00:00:00.203704
mcollina/autocannon,1,v,52,6,5,43,95,0 days 00:00:00.062587
uber/cadence,1,v,22,10,6,55,77,0 days 00:00:00.328283
crater-invoice/crater,1,,11,4,4,19,30,0 days 00:00:00.078026
flot/flot,2, v,16,4,6,35,51,0 days 00:00:00.070586
snipe/snipe-it,3, V v,30,12,13,130,160,0 days 00:00:00.737106
SocketCluster/socketcluster,3, v. v,17,3,3,26,43,0 days 00:00:00.068699
PaddlePaddle/Paddle-Lite,3, release/ v,15,4,7,6,21,0 days 00:00:00.524029
wojtekmaj/react-pdf,1,v,27,8,6,36,63,0 days 00:00:00.079882
burnash/gspread,2, v,19,7,7,21,40,0 days 00:00:00.068550
fabiospampinato/cash,1,,16,4,4,36,52,0 days 00:00:00.053664
reactiveui/refit,2, v,13,2,6,39,52,0 days 00:00:00.130514
jazzband/pip-tools,1,,45,15,10,49,94,0 days 00:00:00.129897
heroiclabs/nakama,1,v,38,11,5,29,67,0 days 00:00:00.086120
