project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
parse-community/parse-server,1,,34,11,11,111,145,0 days 00:00:00.255692
felixrieseberg/windows95,1,v,11,2,5,3,14,0 days 00:00:00.018468
benweet/stackedit,1,v,23,7,3,104,127,0 days 00:00:00.110374
alibaba/Sentinel,2, v,8,2,3,16,24,0 days 00:00:00.053714
ShareX/ShareX,1,v,50,24,11,22,72,0 days 00:00:00.475692
segmentio/nightmare,1,,21,4,3,67,88,0 days 00:00:00.075938
afollestad/material-dialogs,3, v. v,20,6,3,98,118,0 days 00:00:00.117505
apache/skywalking,1,v,20,4,6,11,31,0 days 00:00:00.353279
winstonjs/winston,2, v,24,4,10,62,86,0 days 00:00:00.095922
signalapp/Signal-Android,3, v. v,180,145,3,860,1040,0 days 00:00:01.737698
vuejs/vue-router,1,v,19,8,5,59,78,0 days 00:00:00.239048
TeamNewPipe/NewPipe,2, v,17,3,10,100,117,0 days 00:00:00.664962
youzan/vant,1,v,33,13,6,377,410,0 days 00:00:00.753629
zhongyang219/TrafficMonitor,1,V,18,8,6,4,22,0 days 00:00:00.046548
osquery/osquery,2, v,39,11,12,80,119,0 days 00:00:00.429246
marmelab/react-admin,1,v,46,32,4,168,214,0 days 00:00:00.912284
reduxjs/reselect,1,v,11,5,4,14,25,0 days 00:00:00.042095
python-telegram-bot/python-telegram-bot,3, V v,49,19,6,39,88,0 days 00:00:00.141550
celery/celery,2, v,22,3,17,143,165,0 days 00:00:00.831966
vadimdemedes/ink,1,v,16,3,4,23,39,0 days 00:00:00.036850
sideway/joi,2, v,92,20,6,135,227,0 days 00:00:00.201833
graphql/graphql-js,2, v,34,8,10,88,122,0 days 00:00:00.325864
emberjs/ember.js,1,v,68,19,4,184,252,0 days 00:00:01.875311
vnpy/vnpy,2, v,22,6,7,28,50,0 days 00:00:00.294259
pbatard/rufus,1,v,42,8,15,28,70,0 days 00:00:00.109101
mingrammer/diagrams,1,v,20,9,3,16,36,0 days 00:00:00.035953
Baseflow/PhotoView,2, v,8,2,2,12,20,0 days 00:00:00.031388
jumpserver/jumpserver,2, v,31,23,5,103,134,0 days 00:00:00.507901
recharts/recharts,1,v,26,10,4,93,119,0 days 00:00:00.221666
urfave/cli,1,v,33,14,8,34,67,0 days 00:00:00.306158
PyTorchLightning/pytorch-lightning,1,,16,2,4,98,114,0 days 00:00:00.550333
websockets/ws,2, v,40,5,9,114,154,0 days 00:00:00.134305
iawia002/lux,2, v,15,4,4,59,74,0 days 00:00:00.056074
OpenZeppelin/openzeppelin-contracts,1,v,30,9,5,22,52,0 days 00:00:00.296029
locustio/locust,2, v,27,7,10,56,83,0 days 00:00:01.176858
eggjs/egg,1,,70,26,2,43,113,0 days 00:00:00.082974
lensapp/lens,1,v,19,5,6,56,75,0 days 00:00:00.196164
quii/learn-go-with-tests,2, v,22,3,4,27,49,0 days 00:00:00.074442
valyala/fasthttp,1,v,43,9,3,3,46,0 days 00:00:00.084994
svg/svgo,2, v,20,7,10,66,86,0 days 00:00:00.088645
NickeManarin/ScreenToGif,1,,37,9,7,43,80,0 days 00:00:00.080391
flameshot-org/flameshot,1,v,11,2,5,30,41,0 days 00:00:00.103130
SortableJS/Vue.Draggable,2,v. v,24,3,3,25,49,0 days 00:00:00.039771
telegramdesktop/tdesktop,1,v,34,9,7,542,576,0 days 00:00:01.010061
react-dnd/react-dnd,2, v,45,8,8,100,145,0 days 00:00:00.315986
TanStack/table,1,v,36,4,3,86,122,0 days 00:00:00.123945
mysqljs/mysql,1,v,28,5,9,26,54,0 days 00:00:00.095585
pubkey/rxdb,1,,58,41,2,55,113,0 days 00:00:00.375762
jsdom/jsdom,2, v,98,32,9,144,242,0 days 00:00:00.268085
linlinjava/litemall,1,v,19,10,2,3,22,0 days 00:00:00.066625
ai/nanoid,1,,12,4,2,73,85,0 days 00:00:00.194946
cookiecutter/cookiecutter,1,,14,4,8,15,29,0 days 00:00:00.165450
arendst/Tasmota,1,v,35,2,5,58,93,0 days 00:00:00.924273
eclipse-theia/theia,2, v,43,37,2,33,76,0 days 00:00:00.340828
wekan/wekan,2, v,610,257,2,27,637,0 days 00:00:01.018614
restic/restic,1,v,13,2,7,18,31,0 days 00:00:00.386994
defunkt/jquery-pjax,2, v,12,4,2,15,27,0 days 00:00:00.033618
less/less.js,1,v,26,5,10,42,68,0 days 00:00:00.153689
brettwooldridge/HikariCP,1,HikariCP-,17,2,8,82,99,0 days 00:00:00.153910
freqtrade/freqtrade,1,,44,35,2,14,58,0 days 00:00:01.003704
facebook/fresco,1,v,35,14,13,12,47,0 days 00:00:00.263827
bazelbuild/bazel,1,,47,29,8,56,103,0 days 00:00:01.817365
zloirock/core-js,2, v,41,23,7,156,197,0 days 00:00:00.250756
badges/shields,1,,8,2,4,3,11,0 days 00:00:00.840318
jhipster/generator-jhipster,1,v,110,86,5,114,224,0 days 00:00:02.591624
handlebars-lang/handlebars.js,2, v,14,2,6,56,70,0 days 00:00:00.234405
dropzone/dropzone,1,v,32,5,5,83,115,0 days 00:00:00.078598
monicahq/monica,1,v,47,26,4,39,86,0 days 00:00:00.324697
responsively-org/responsively-app,1,v,18,14,3,10,28,0 days 00:00:00.081092
Tencent/tinker,1,v,7,2,2,46,53,0 days 00:00:00.052503
derailed/k9s,2, v,25,7,2,155,180,0 days 00:00:00.123115
nfl/react-helmet,1,,15,3,4,18,33,0 days 00:00:00.029068
grafana/k6,1,v,36,11,6,36,72,0 days 00:00:00.266208
hubotio/hubot,1,v,26,6,11,68,94,0 days 00:00:00.129258
framework7io/framework7,1,v,43,18,9,172,215,0 days 00:00:00.574115
plotly/dash,1,v,42,25,3,33,75,0 days 00:00:00.402517
handsontable/handsontable,2, v,62,24,14,117,179,0 days 00:00:00.569006
gchq/CyberChef,1,v,119,42,2,273,392,0 days 00:00:00.393400
aFarkas/lazysizes,1,,21,7,5,45,66,0 days 00:00:00.217915
matryer/xbar,2, v,9,5,2,5,14,0 days 00:00:00.044208
ionic-team/ionicons,2, v,21,3,8,51,72,0 days 00:00:00.054675
sanic-org/sanic,2, v,21,2,13,49,70,0 days 00:00:00.261977
trojan-gfw/trojan,1,v,24,8,4,19,43,0 days 00:00:00.035894
visionmedia/superagent,2, v,50,14,9,84,134,0 days 00:00:00.197141
grafana/loki,1,v,17,4,4,8,25,0 days 00:00:00.194097
notepad-plus-plus/notepad-plus-plus,2, v,42,7,11,159,201,0 days 00:00:00.436507
filebrowser/filebrowser,1,v,34,10,4,62,96,0 days 00:00:00.134717
youzan/vant-weapp,1,v,16,6,4,91,107,0 days 00:00:00.268604
mpv-player/mpv,1,v,34,10,8,46,80,0 days 00:00:02.866861
v2fly/v2ray-core,1,v,185,108,4,217,402,0 days 00:00:00.561044
nginx/nginx,1,release-,32,8,6,516,548,0 days 00:00:00.929677
oblador/react-native-vector-icons,1,v,37,3,6,42,79,0 days 00:00:00.051090
jaegertracing/jaeger,1,v,40,24,3,13,53,0 days 00:00:00.104622
knex/knex,2, v,25,2,16,146,171,0 days 00:00:00.208612
buger/goreplay,2, v,18,3,9,23,41,0 days 00:00:00.073897
ustbhuangyi/better-scroll,3, v. v,17,6,4,41,58,0 days 00:00:00.099894
semantic-release/semantic-release,2, v,62,5,2,206,268,0 days 00:00:00.166429
motdotla/dotenv,1,v,33,4,6,26,59,0 days 00:00:00.042087
briannesbitt/Carbon,1,,99,54,5,79,178,0 days 00:00:00.306050
nikic/PHP-Parser,1,v,24,5,9,41,65,0 days 00:00:00.080831
janl/mustache.js,2, v,20,3,8,23,43,0 days 00:00:00.054153
spotify/luigi,2, v,13,4,8,46,59,0 days 00:00:00.335028
wulkano/Kap,1,v,13,2,5,14,27,0 days 00:00:00.059560
auth0/node-jsonwebtoken,1,v,29,3,5,42,71,0 days 00:00:00.041388
jasmine/jasmine,1,v,28,4,17,29,57,0 days 00:00:00.182310
BabylonJS/Babylon.js,2, v,36,10,14,36,72,0 days 00:00:02.579352
huiyadanli/RevokeMsgPatcher,1,,15,2,2,0,15,0 days 00:00:00.019307
KaTeX/KaTeX,1,v,15,2,9,41,56,0 days 00:00:00.128016
facebook/yoga,2, v,19,5,8,23,42,0 days 00:00:00.131402
teambit/bit,1,v,18,6,5,121,139,0 days 00:00:00.320990
infernojs/inferno,2, v,38,18,5,160,198,0 days 00:00:00.437148
DapperLib/Dapper,1,,31,4,6,13,44,0 days 00:00:00.086438
radareorg/radare2,2, release-,42,22,6,43,85,0 days 00:00:01.533525
airbnb/react-sketchapp,2, v,20,9,5,27,47,0 days 00:00:00.057539
qbittorrent/qBittorrent,1,release-,24,4,16,145,169,0 days 00:00:00.959431
catchorg/Catch2,3,V v v.,24,6,6,62,86,0 days 00:00:00.406774
bower/bower,2, v,18,8,4,83,101,0 days 00:00:00.396732
fullcalendar/fullcalendar,1,v,44,14,17,72,116,0 days 00:00:00.330655
flatpickr/flatpickr,2, v,23,3,4,121,144,0 days 00:00:00.173298
ChainSafe/web3.js,2, v,25,15,5,54,79,0 days 00:00:00.178377
pouchdb/pouchdb,2, v,24,7,8,47,71,0 days 00:00:00.338543
icsharpcode/ILSpy,2, v,16,2,11,9,25,0 days 00:00:00.531298
Tencent/ncnn,1,,32,9,3,0,32,0 days 00:00:00.096837
matomo-org/matomo,1,,64,19,20,130,194,0 days 00:00:02.032863
gabime/spdlog,1,v,19,4,10,15,34,0 days 00:00:00.192780
nodemailer/nodemailer,1,v,47,6,7,170,217,0 days 00:00:00.265110
Tencent/vConsole,2, v,24,9,5,34,58,0 days 00:00:00.057628
riot/riot,1,v,44,6,7,155,199,0 days 00:00:00.297222
pqrs-org/Karabiner-Elements,1,v,28,10,5,0,28,0 days 00:00:00.301243
framer/motion,1,v,60,27,3,243,303,0 days 00:00:00.315949
mkdocs/mkdocs,1,,20,6,9,27,47,0 days 00:00:00.104761
node-red/node-red,2, v,26,3,18,99,125,0 days 00:00:00.342046
checkly/headless-recorder,1,v,8,3,2,10,18,0 days 00:00:00.019829
erusev/parsedown,2, v,17,3,4,51,68,0 days 00:00:00.117106
joke2k/faker,1,v,95,3,3,138,233,0 days 00:00:00.236974
krisk/Fuse,2, v,25,7,5,50,75,0 days 00:00:00.041267
hashcat/hashcat,1,v,17,3,9,8,25,0 days 00:00:00.562640
barryvdh/laravel-debugbar,2,V v,24,5,6,99,123,0 days 00:00:00.081249
kovidgoyal/kitty,1,v,25,8,9,58,83,0 days 00:00:01.162570
jarun/nnn,1,v,34,10,4,2,36,0 days 00:00:00.181292
iBotPeaches/Apktool,1,v,12,2,8,23,35,0 days 00:00:00.111593
Anuken/Mindustry,1,v,136,102,4,0,136,0 days 00:00:01.216864
chrislusf/seaweedfs,2, v,218,155,2,0,218,0 days 00:00:00.589252
fmtlib/fmt,2, v,23,2,13,16,39,0 days 00:00:00.398331
google/filament,1,v,23,13,5,70,93,0 days 00:00:00.252137
browserify/browserify,2, v,149,16,2,264,413,0 days 00:00:00.323738
infinitered/ignite,2, v,52,14,2,94,146,0 days 00:00:00.142508
be5invis/Iosevka,1,v,59,28,6,163,222,0 days 00:00:00.266469
uNetworking/uWebSockets,1,v,66,13,4,26,92,0 days 00:00:00.104814
gpujs/gpu.js,1,,21,4,2,55,76,0 days 00:00:00.077773
cocos2d/cocos2d-x,1,cocos2d-x-,20,2,8,17,37,0 days 00:00:02.787504
plotly/plotly.js,1,v,72,54,3,133,205,0 days 00:00:01.429413
koel/koel,1,v,18,6,6,38,56,0 days 00:00:00.117807
docker-slim/docker-slim,1,,38,3,9,17,55,0 days 00:00:00.054562
wting/autojump,1,release-v,31,2,5,22,53,0 days 00:00:00.058418
bootstrap-vue/bootstrap-vue,2, v,47,32,2,66,113,0 days 00:00:00.435163
markdown-it/markdown-it,1,,29,5,5,47,76,0 days 00:00:00.064796
infinitered/reactotron,1,v,46,22,3,40,86,0 days 00:00:00.098807
desktop/desktop,1,release-,22,6,8,136,158,0 days 00:00:01.891229
micropython/micropython,1,v,19,4,10,31,50,0 days 00:00:00.836403
hapijs/hapi,2, v,129,66,6,194,323,0 days 00:00:00.467514
vuejs/vue,2, v,15,4,7,145,160,0 days 00:00:00.425701
d3/d3,1,v,91,26,7,197,288,0 days 00:00:00.340527
axios/axios,2, v,27,8,8,30,57,0 days 00:00:00.080105
dogecoin/dogecoin,2, v,17,3,10,64,81,0 days 00:00:01.169467
facebook/react,2, v,36,7,14,58,94,0 days 00:00:01.239387
hashicorp/packer,2, v,21,5,15,82,103,0 days 00:00:01.321826
containers/podman,1,v,21,5,4,95,116,0 days 00:00:01.536936
vercel/next.js,2, v,33,8,7,122,155,0 days 00:00:00.930942
twbs/bootstrap,1,v,23,3,15,36,59,0 days 00:00:01.491925
RasaHQ/rasa,1,,33,15,7,233,266,0 days 00:00:02.093625
iluwatar/java-design-patterns,1,,19,3,13,0,19,0 days 00:00:00.271932
nvbn/thefuck,1,,79,33,7,4,83,0 days 00:00:00.107265
Genymobile/scrcpy,1,v,25,9,5,2,27,0 days 00:00:00.077828
microsoft/PowerToys,2, v,28,17,3,31,59,0 days 00:00:00.361854
typicode/json-server,2, v,17,2,6,106,123,0 days 00:00:00.052751
facebook/react-native,2, v,67,51,8,144,211,0 days 00:00:01.860627
hakimel/reveal.js,1,,27,2,19,11,38,0 days 00:00:00.167255
laravel/laravel,1,v,40,6,15,134,174,0 days 00:00:00.545423
gin-gonic/gin,1,v,13,3,8,13,26,0 days 00:00:00.087970
tensorflow/models,2,v. v,19,3,9,6,25,0 days 00:00:00.732673
pallets/flask,1,,16,5,10,25,41,0 days 00:00:00.283007
elastic/kibana,1,v,55,10,10,190,245,0 days 00:00:06.905109
reduxjs/redux,1,v,26,11,5,42,68,0 days 00:00:00.283634
gohugoio/hugo,1,v,93,72,10,101,194,0 days 00:00:00.602509
ant-design/ant-design,1,,79,64,4,329,408,0 days 00:00:01.544378
tailwindlabs/tailwindcss,1,v,21,9,8,127,148,0 days 00:00:00.285715
chartjs/Chart.js,2, v,21,7,10,31,52,0 days 00:00:00.243839
fatedier/frp,1,v,42,16,11,30,72,0 days 00:00:00.069449
electron/electron,1,v,113,60,16,595,708,0 days 00:00:02.738685
expressjs/express,1,,61,31,11,185,246,0 days 00:00:00.353370
mrdoob/three.js,1,r,132,97,5,0,132,0 days 00:00:02.752745
adam-p/markdown-here,1,v,15,6,6,34,49,0 days 00:00:00.052692
sveltejs/svelte,1,v,134,87,2,244,378,0 days 00:00:00.519441
shadowsocks/shadowsocks-windows,1,,13,3,7,49,62,0 days 00:00:00.083620
webpack/webpack,1,v,152,121,5,224,376,0 days 00:00:01.228991
socketio/socket.io,1,,30,2,12,118,148,0 days 00:00:00.178799
h5bp/html5-boilerplate,2, v,19,2,12,10,29,0 days 00:00:00.104807
azl397985856/leetcode,2, v,35,15,3,5,40,0 days 00:00:00.084720
microsoft/TypeScript,1,v,12,2,2,120,132,0 days 00:00:02.362318
coder/code-server,2, v,20,9,4,22,42,0 days 00:00:00.350032
protocolbuffers/protobuf,1,v,29,3,13,46,75,0 days 00:00:00.656242
apache/echarts,1,,29,5,14,64,93,0 days 00:00:00.606490
lodash/lodash,1,,48,35,3,59,107,0 days 00:00:00.780390
psf/requests,2, v,43,11,22,101,144,0 days 00:00:00.545769
moment/moment,1,,40,14,12,46,86,0 days 00:00:00.333771
tiangolo/fastapi,2, v,77,36,3,52,129,0 days 00:00:00.145816
junegunn/fzf,1,,27,8,13,76,103,0 days 00:00:00.131763
remix-run/react-router,1,v,39,17,10,76,115,0 days 00:00:00.521727
nestjs/nest,2, v,33,18,5,167,200,0 days 00:00:00.772576
juliangarnier/anime,2, v,8,2,5,6,14,0 days 00:00:00.043346
prettier/prettier,2, v,39,19,8,71,110,0 days 00:00:00.396434
ionic-team/ionic-framework,2, v,43,26,10,140,183,0 days 00:00:00.987928
ColorlibHQ/AdminLTE,2, v,13,2,5,47,60,0 days 00:00:00.250093
prometheus/prometheus,2, v,67,32,5,79,146,0 days 00:00:00.742033
caddyserver/caddy,1,v,14,2,10,49,63,0 days 00:00:00.224953
nuxt/nuxt.js,1,v,30,12,7,112,142,0 days 00:00:00.416182
atom/atom,2, v,271,217,2,104,375,0 days 00:00:02.688673
storybookjs/storybook,1,v,107,16,13,323,430,0 days 00:00:04.207612
strapi/strapi,1,v,16,7,2,79,95,0 days 00:00:01.398455
iamkun/dayjs,1,v,11,3,4,99,110,0 days 00:00:00.101969
grafana/grafana,2, v,46,7,9,181,227,0 days 00:00:02.497174
gogs/gogs,1,v,11,4,6,51,62,0 days 00:00:00.274936
vercel/hyper,2, v,18,9,6,43,61,0 days 00:00:00.177371
Dogfalo/materialize,2, v,17,9,3,20,37,0 days 00:00:00.194985
FiloSottile/mkcert,1,v,6,2,2,8,14,0 days 00:00:00.016826
impress/impress.js,1,,8,4,3,4,12,0 days 00:00:00.026375
facebook/jest,2, v,68,38,10,143,211,0 days 00:00:00.576294
PhilJay/MPAndroidChart,1,v,8,2,4,33,41,0 days 00:00:00.232958
ocornut/imgui,1,v,72,41,5,2,74,0 days 00:00:00.473861
babel/babel,1,v,90,55,8,606,696,0 days 00:00:01.481735
sahat/hackathon-starter,1,,8,2,4,6,14,0 days 00:00:00.117084
hexojs/hexo,1,,38,13,11,101,139,0 days 00:00:00.389928
airbnb/lottie-android,2,v. v,21,5,8,42,63,0 days 00:00:00.089272
v2ray/v2ray-core,1,v,168,95,3,182,350,0 days 00:00:00.883498
TryGhost/Ghost,2, v,170,125,6,318,488,0 days 00:00:01.370135
lerna/lerna,1,v,39,16,6,70,109,0 days 00:00:00.156433
koajs/koa,1,,43,9,9,44,87,0 days 00:00:00.080886
quilljs/quill,1,v,23,11,5,99,122,0 days 00:00:00.252557
videojs/video.js,2, v,70,26,13,220,290,0 days 00:00:00.353105
rclone/rclone,1,v,69,15,10,21,90,0 days 00:00:00.367640
gulpjs/gulp,2, v,6,2,3,13,19,0 days 00:00:00.061658
d2l-ai/d2l-zh,1,v,9,4,3,0,9,0 days 00:00:00.199821
bumptech/glide,1,v,21,6,11,15,36,0 days 00:00:00.143391
ant-design/ant-design-pro,2, v,18,4,6,12,30,0 days 00:00:00.124121
immutable-js/immutable-js,2, v,16,8,3,39,55,0 days 00:00:00.102572
shadowsocks/shadowsocks-android,1,v,24,4,8,156,180,0 days 00:00:00.195537
Blankj/AndroidUtilCode,1,,27,7,7,89,116,0 days 00:00:00.082285
vuetifyjs/vuetify,1,v,23,6,8,284,307,0 days 00:00:00.809491
nativefier/nativefier,2, v,56,19,5,90,146,0 days 00:00:00.100043
XX-net/XX-Net,1,,51,17,3,285,336,0 days 00:00:00.361444
nolimits4web/swiper,1,v,49,7,12,139,188,0 days 00:00:00.330874
carbon-app/carbon,1,,24,5,3,194,218,0 days 00:00:00.161433
microsoft/monaco-editor,2, v,28,6,8,36,64,0 days 00:00:00.162450
nlohmann/json,2, v,15,2,8,36,51,0 days 00:00:00.371581
ansible/ansible,2, v,26,4,13,174,200,0 days 00:00:04.256520
NervJS/taro,1,v,12,2,5,272,284,0 days 00:00:00.697583
date-fns/date-fns,2,v. v,77,25,7,42,119,0 days 00:00:00.139030
react-boilerplate/react-boilerplate,1,v,17,5,5,13,30,0 days 00:00:00.100602
streamich/react-use,1,v,134,35,2,117,251,0 days 00:00:00.348486
nocodb/nocodb,2, v,9,5,2,86,95,0 days 00:00:00.172764
beego/beego,1,v,16,3,10,24,40,0 days 00:00:00.235851
jashkenas/backbone,2, v,10,2,7,22,32,0 days 00:00:00.264472
openai/gym,2, v,15,5,2,34,49,0 days 00:00:00.093382
vuejs/vuex,1,v,21,4,7,24,45,0 days 00:00:00.076875
Dreamacro/clash,1,v,28,9,3,14,42,0 days 00:00:00.049281
photonstorm/phaser,2, v,39,20,10,59,98,0 days 00:00:01.297609
caolan/async,2, v,25,9,10,52,77,0 days 00:00:00.113712
certbot/certbot,1,v,68,54,2,31,99,0 days 00:00:00.661980
atlassian/react-beautiful-dnd,2, v,24,5,4,46,70,0 days 00:00:00.061832
jesseduffield/lazygit,2, v,33,19,5,151,184,0 days 00:00:00.210864
standard/standard,1,v,66,16,8,87,153,0 days 00:00:00.148065
square/leakcanary,1,v,14,4,9,10,24,0 days 00:00:00.291989
apolloconfig/apollo,2, v,19,2,9,16,35,0 days 00:00:00.144988
mitmproxy/mitmproxy,2, v,30,4,17,35,65,0 days 00:00:00.623668
istio/istio,1,,22,4,12,143,165,0 days 00:00:01.353293
typicode/husky,1,v,34,8,9,88,122,0 days 00:00:00.168289
airbnb/lottie-web,2,v. v,24,8,7,144,168,0 days 00:00:00.222979
denysdovhan/wtfjs,1,v,23,3,4,16,39,0 days 00:00:00.036266
ReactiveX/rxjs,1,,19,6,6,45,64,0 days 00:00:00.519121
request/request,1,v,73,27,5,71,144,0 days 00:00:00.166879
aria2/aria2,1,release-,53,19,18,87,140,0 days 00:00:00.296956
hashicorp/terraform,2, v,18,2,12,158,176,0 days 00:00:02.121775
github/fetch,1,v,21,6,7,19,40,0 days 00:00:00.048879
webtorrent/webtorrent,1,v,125,41,7,284,409,0 days 00:00:00.374850
cheeriojs/cheerio,2, v,22,6,6,30,52,0 days 00:00:00.068452
SortableJS/Sortable,1,,17,2,11,18,35,0 days 00:00:00.067944
Modernizr/Modernizr,1,v,20,4,10,23,43,0 days 00:00:00.153894
select2/select2,1,,9,2,5,27,36,0 days 00:00:00.241047
GitbookIO/gitbook,1,,22,13,2,68,90,0 days 00:00:00.135879
harness/drone,1,v,31,10,8,44,75,0 days 00:00:00.257194
docker/compose,2, v,41,12,15,67,108,0 days 00:00:00.576995
YMFE/yapi,2, v,9,2,2,68,77,0 days 00:00:00.280780
remy/nodemon,1,v,20,3,3,101,121,0 days 00:00:00.178270
Binaryify/NeteaseCloudMusicApi,2, v,52,10,5,102,154,0 days 00:00:00.290701
GoogleChrome/lighthouse,2, v,56,39,4,42,98,0 days 00:00:00.450663
akveo/ngx-admin,1,v,19,2,6,8,27,0 days 00:00:00.062955
CodeHubApp/CodeHub,1,,15,3,2,13,28,0 days 00:00:00.039464
ggreer/the_silver_searcher,1,,37,16,8,12,49,0 days 00:00:00.115999
bvaughn/react-virtualized,2, v,71,33,3,129,200,0 days 00:00:00.174816
sequelize/sequelize,2, v,137,36,9,334,471,0 days 00:00:00.986740
pmndrs/react-spring,1,v,22,9,2,150,172,0 days 00:00:00.221754
getsentry/sentry,2, v,102,81,9,294,396,0 days 00:00:02.939045
explosion/spaCy,2, v,28,14,11,72,100,0 days 00:00:00.934868
laravel/framework,2, v,163,143,12,630,793,0 days 00:00:02.282938
Automattic/mongoose,2, v,58,12,18,646,704,0 days 00:00:01.738197
kubernetes/kubernetes,1,v,45,20,19,329,374,0 days 00:00:09.797698
influxdata/influxdb,2, v,26,6,14,133,159,0 days 00:00:02.825126
elastic/elasticsearch,1,v,67,22,15,231,298,0 days 00:00:09.452494
